Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[BOTTOM, DETAILS]	GO:0006260	DNA replication	BIOLOGICAL_PROCESS	31	-0.6318283	-4.133013	0.0	0.0	0.0	217	tags=71%, list=9%, signal=77%
[BOTTOM, DETAILS]	GO:0006974	cellular response to DNA damage stimulus	BIOLOGICAL_PROCESS	70	-0.32264864	-3.149896	0.0	0.0	0.0	435	tags=49%, list=17%, signal=57%
[BOTTOM, DETAILS]	GO:0006261	DNA-dependent DNA replication	BIOLOGICAL_PROCESS	22	-0.56786376	-3.1237833	0.0	0.0	0.0	301	tags=68%, list=12%, signal=77%
[BOTTOM, DETAILS]	GO:0006259	DNA metabolic process	BIOLOGICAL_PROCESS	84	-0.29001933	-3.0974474	0.0	0.0	0.0	435	tags=45%, list=17%, signal=53%
[BOTTOM, DETAILS]	GO:0006310	DNA recombination	BIOLOGICAL_PROCESS	26	-0.46603617	-2.8450556	0.0	0.0012159675	0.006	584	tags=69%, list=23%, signal=89%
[TOP, DETAILS]	GO:0050808	synapse organization	BIOLOGICAL_PROCESS	146	0.20469278	2.805522	0.0	0.007703219	0.008	1085	tags=62%, list=43%, signal=103%
[BOTTOM, DETAILS]	GO:0046034	ATP metabolic process	BIOLOGICAL_PROCESS	69	-0.27591154	-2.671105	0.002079002	0.005116652	0.028	1335	tags=80%, list=53%, signal=165%
[BOTTOM, DETAILS]	GO:0022900	electron transport chain	BIOLOGICAL_PROCESS	47	-0.32844672	-2.6545954	0.0	0.0048273928	0.031	1335	tags=85%, list=53%, signal=177%
[BOTTOM, DETAILS]	GO:0044786	cell cycle DNA replication	BIOLOGICAL_PROCESS	16	-0.5397637	-2.575801	0.0	0.007667778	0.058	67	tags=56%, list=3%, signal=57%
[BOTTOM, DETAILS]	GO:0065004	protein-DNA complex assembly	BIOLOGICAL_PROCESS	40	-0.35507452	-2.568193	0.0	0.007166298	0.061	507	tags=55%, list=20%, signal=68%
[TOP, DETAILS]	GO:0007274	neuromuscular synaptic transmission	BIOLOGICAL_PROCESS	32	0.378475	2.54832	0.0	0.045332804	0.087	1185	tags=84%, list=47%, signal=157%
[BOTTOM, DETAILS]	GO:1903047	mitotic cell cycle process	BIOLOGICAL_PROCESS	132	-0.19075319	-2.5465996	0.0	0.0072808573	0.069	233	tags=27%, list=9%, signal=28%
